      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
        30  3.000000000000000E+001 -5.644783559962894E-001  1.016156087083830E+000  1.554562272424935E-005  1.090938569328475E+022 -1.090859159327763E+022  9.092611527180557E+020 -4.304694379446923E+020  9.092611787924539E+020 -4.304694640190905E+020  3.989223162302474E+021  3.989223162302476E+021  3.179546146649078E-017  1.625478792284414E-017  9.592936043613700E-007
        31  3.100000000000000E+001 -5.644607529645824E-001  1.016124399047629E+000  1.554730276154586E-005  1.090904546973688E+022 -1.090825136972976E+022  9.092328104036410E+020 -4.304560127389747E+020  9.092328364760703E+020 -4.304560388114039E+020  3.989223162302474E+021  3.989223162302476E+021  1.563907010281418E-017  2.878236332834823E-017  9.913216213398363E-007
        31  3.100000000000000E+001 -5.644607529645824E-001  1.016124399047629E+000  1.554730276154586E-005  1.090904546973688E+022 -1.090825136972976E+022  9.092328104036410E+020 -4.304560127389747E+020  9.092328364760703E+020 -4.304560388114039E+020  3.989223162302474E+021  3.989223162302476E+021  1.563907010281418E-017  2.878236332834823E-017  9.913216213398363E-007
        32  3.200000000000000E+001 -5.644431504818037E-001  1.016092712092187E+000  1.554898281179987E-005  1.090870525679963E+022 -1.090791115679251E+022  9.092044689728164E+020 -4.304425879518345E+020  9.092044950432764E+020 -4.304426140222947E+020  3.989223162302474E+021  3.989223162302476E+021  1.176098869143464E-017  2.143147197470534E-017  1.023352735968953E-006
        32  3.200000000000000E+001 -5.644431504818037E-001  1.016092712092187E+000  1.554898281179987E-005  1.090870525679963E+022 -1.090791115679251E+022  9.092044689728164E+020 -4.304425879518345E+020  9.092044950432764E+020 -4.304426140222947E+020  3.989223162302474E+021  3.989223162302476E+021  1.176098869143464E-017  2.143147197470534E-017  1.023352735968953E-006
        33  3.300000000000000E+001 -5.644255485479364E-001  1.016061026216489E+000  1.555066287500020E-005  1.090836505447269E+022 -1.090757095446557E+022  9.091761284255538E+020 -4.304291635832584E+020  9.091761544940450E+020 -4.304291896517497E+020  3.989223162302474E+021  3.989223162302476E+021  2.676861270963241E-017  7.868559758829012E-018  1.055386927042400E-006
        33  3.300000000000000E+001 -5.644255485479364E-001  1.016061026216489E+000  1.555066287500020E-005  1.090836505447269E+022 -1.090757095446557E+022  9.091761284255538E+020 -4.304291635832584E+020  9.091761544940450E+020 -4.304291896517497E+020  3.989223162302474E+021  3.989223162302476E+021  2.676861270963241E-017  7.868559758829012E-018  1.055386927042400E-006
        34  3.400000000000000E+001 -5.644079471629675E-001  1.016029341419507E+000  1.555234295113568E-005  1.090802486275571E+022 -1.090723076274859E+022  9.091477887618259E+020 -4.304157396332336E+020  9.091478148283483E+020 -4.304157656997558E+020  3.989223162302474E+021  3.989223162302476E+021  2.743701150830956E-017  1.133693807357601E-017  1.087424173187527E-006
        34  3.400000000000000E+001 -5.644079471629675E-001  1.016029341419507E+000  1.555234295113568E-005  1.090802486275571E+022 -1.090723076274859E+022  9.091477887618259E+020 -4.304157396332336E+020  9.091478148283483E+020 -4.304157656997558E+020  3.989223162302474E+021  3.989223162302476E+021  2.743701150830956E-017  1.133693807357601E-017  1.087424173187527E-006
        35  3.500000000000000E+001 -5.643903463268704E-001  1.015997657700257E+000  1.555402304019432E-005  1.090768468164838E+022 -1.090689058164126E+022  9.091194499816050E+020 -4.304023161017468E+020  9.091194760461582E+020 -4.304023421663001E+020  3.989223162302474E+021  3.989223162302476E+021  1.970107483255772E-017  1.811839418151417E-018  1.119464453545112E-006
